id;name;address;mobile_no;whats_app;facebook;insta
1;magnificent outside the;fictionalize;retrospectivity;nicely duster indeed;thin well-made ew;chairperson far-off cultivated
2;consequently weird fully;contravene striking careless;pacemaker;obstruct;weep brightly;despite afterwards fooey
3;but;alongside formal apud;eek airman;versus marvelous puff;rubbery till proper;pushy with
4;measly rapidly;funny fully;via;alive bah unlearn;grumpy needily blah;across
5;woot finally evince;uneven function silt;mmm;as;essential defiantly;although gah
6;hungrily however;fast gah;catch incidentally loudly;dicker since;fedora desk ligate;doubtfully oval comparison
7;gut whenever fiddle;before brr segregate;ajar absent;transcend slope;warmly tomatillo however;carelessly
8;enhance mortise pointless;amongst;word although refute;correctly;potable store;reconsideration eek wherever
9;rosy thankfully understanding;sonar noted;unwilling;anenst pfft why;nor;elastic more
10;quart allocation;furthermore;hmph carelessly;meh reward before;sadly kookily;boyfriend sure-footed saturate
